variant,inst_type,n,density,beam_width,avg_obj,avg_time,avg_gap,std_gap,max_gap,success_rate
V4_Full_Proposed,Gallo,25,0.5,5,9279.566666666668,0.2880208333333333,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,25,0.75,0,13257.033333333333,1.821875,0.199463756600158,0.5391073993954569,2.0969716323380703,86.66666666666667
V1_Static_Greedy,Gallo,25,0.75,1,13293.1,0.0213541666666666,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,Gallo,25,0.75,1,13293.1,0.0302083333333333,0.0,0.0,0.0,100.0
V3_Diverse_Beam_Static,Gallo,25,0.75,5,13293.1,0.23125,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,25,0.75,5,13293.1,0.1197916666666666,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,25,0.75,5,13293.1,0.0734375,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,25,0.75,5,13293.1,0.2838541666666667,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,25,1.0,0,15500.566666666668,1.6088541666666667,0.0423613650056285,0.1180549967109975,0.5100978555069748,80.0
V1_Static_Greedy,Gallo,25,1.0,1,15505.633333333331,0.0208333333333333,0.0200221246744695,0.0787581978389724,0.3944427400622343,93.33333333333331
V2_Dynamic_Greedy,Gallo,25,1.0,1,15505.066666666668,0.0307291666666666,0.0248912316229715,0.0932932799060062,0.3944427400622343,93.33333333333331
V3_Diverse_Beam_Static,Gallo,25,1.0,5,15509.433333333332,0.2072916666666666,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,25,1.0,5,15509.433333333332,0.1322916666666666,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,25,1.0,5,15509.433333333332,0.0692708333333333,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,25,1.0,5,15509.433333333332,0.2739583333333333,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,50,0.25,0,14415.066666666668,25.609895833333333,0.0509827625852948,0.1502434480865287,0.5644630674931607,86.66666666666667
V1_Static_Greedy,Gallo,50,0.25,1,14418.933333333332,0.10625,0.0835897236521762,0.3222024938997636,1.5536723163841808,93.33333333333331
V2_Dynamic_Greedy,Gallo,50,0.25,1,14420.666666666666,0.1671875,0.0684378561151093,0.2845861418201275,1.5536723163841808,90.0
V3_Diverse_Beam_Static,Gallo,50,0.25,5,14426.666666666666,1.1807291666666666,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,50,0.25,5,14426.666666666666,0.6833333333333333,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,50,0.25,5,14426.666666666666,0.4052083333333333,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,50,0.25,5,14425.066666666668,1.54375,0.0125117297466374,0.0685295661564174,0.3753518923991242,96.66666666666669
